repo_full_name,number,url,state,createdAt,closedAt,mergedAt,changedFiles,additions,deletions,desc_len,participants,comments,reviews,tempo_analise_horas
org5/repo5,4764,https://github.com/org5/repo5/pull/4764,CLOSED,2024-10-17T15:49:54Z,2024-10-17T19:43:24Z,,15,143,135,1472,4,15,3,3.892
org3/repo3,10683,https://github.com/org3/repo3/pull/10683,CLOSED,2025-06-06T21:31:54Z,2025-06-08T01:29:34Z,,2,78,28,1081,2,12,3,27.961
org3/repo3,2134,https://github.com/org3/repo3/pull/2134,MERGED,2025-08-29T06:46:54Z,,2025-08-29T15:04:04Z,25,241,87,307,5,12,1,8.286
org5/repo5,492,https://github.com/org5/repo5/pull/492,MERGED,2025-03-02T14:47:54Z,,2025-03-02T21:16:56Z,11,39,70,1499,1,9,5,6.484
org1/repo1,4520,https://github.com/org1/repo1/pull/4520,CLOSED,2024-08-07T10:35:54Z,2024-08-07T14:49:25Z,,6,176,143,998,1,0,2,4.225
org5/repo5,13540,https://github.com/org5/repo5/pull/13540,CLOSED,2025-02-14T01:13:54Z,2025-02-14T06:47:07Z,,17,114,64,1724,2,0,2,5.554
org5/repo5,5829,https://github.com/org5/repo5/pull/5829,CLOSED,2024-07-29T12:09:54Z,2024-07-29T18:09:33Z,,14,213,66,607,1,15,5,5.994
org9/repo9,9243,https://github.com/org9/repo9/pull/9243,CLOSED,2025-02-25T20:17:54Z,2025-02-26T03:18:52Z,,13,197,56,538,2,7,1,7.016
org6/repo6,10736,https://github.com/org6/repo6/pull/10736,MERGED,2025-08-07T06:48:54Z,,2025-08-07T17:55:41Z,16,125,64,1119,7,0,1,11.113
org5/repo5,11321,https://github.com/org5/repo5/pull/11321,CLOSED,2025-02-17T02:01:54Z,2025-02-17T07:01:02Z,,13,74,136,439,4,3,1,4.986
org3/repo3,7216,https://github.com/org3/repo3/pull/7216,MERGED,2024-10-21T05:12:54Z,,2024-10-21T20:36:06Z,1,80,173,1182,3,9,3,15.387
org5/repo5,3320,https://github.com/org5/repo5/pull/3320,MERGED,2025-07-05T10:18:54Z,,2025-07-05T20:25:43Z,7,31,190,1674,4,15,1,10.114
org8/repo8,4289,https://github.com/org8/repo8/pull/4289,CLOSED,2024-12-01T00:15:54Z,2024-12-01T08:59:32Z,,5,60,65,344,1,0,1,8.727
org10/repo10,8043,https://github.com/org10/repo10/pull/8043,MERGED,2024-12-30T11:04:54Z,,2024-12-30T16:45:50Z,10,54,119,109,3,6,1,5.682
org4/repo4,11495,https://github.com/org4/repo4/pull/11495,MERGED,2025-04-04T14:36:54Z,,2025-04-04T20:03:02Z,17,212,57,526,3,7,3,5.436
org8/repo8,6385,https://github.com/org8/repo8/pull/6385,CLOSED,2025-10-01T07:13:54Z,2025-10-01T15:38:29Z,,16,204,45,291,1,8,1,8.41
org1/repo1,3685,https://github.com/org1/repo1/pull/3685,MERGED,2025-07-24T15:49:54Z,,2025-07-25T08:19:10Z,1,120,38,956,3,4,1,16.488
org8/repo8,10471,https://github.com/org8/repo8/pull/10471,MERGED,2025-06-01T06:54:54Z,,2025-06-01T10:15:15Z,5,328,50,1050,4,0,1,3.339
org5/repo5,14520,https://github.com/org5/repo5/pull/14520,CLOSED,2024-09-12T06:28:54Z,2024-09-12T07:29:44Z,,7,262,38,975,4,8,1,1.014
org6/repo6,8526,https://github.com/org6/repo6/pull/8526,CLOSED,2024-10-01T23:32:54Z,2024-10-02T08:37:23Z,,5,106,771,545,1,7,2,9.075
org10/repo10,3894,https://github.com/org10/repo10/pull/3894,CLOSED,2024-09-29T16:27:54Z,2024-09-30T07:02:20Z,,4,63,37,1173,5,0,1,14.574
org1/repo1,9518,https://github.com/org1/repo1/pull/9518,MERGED,2024-10-09T16:38:54Z,,2024-10-09T23:52:07Z,3,99,209,188,3,14,1,7.22
