x,y,spearman_rho,p_value
changedFiles,status_bin,0.09078826086906995,0.2535595545124236
additions,status_bin,0.08057934263106516,0.31110148544421373
deletions,status_bin,-0.1049581283809748,0.1865451127498004
tempo_analise_horas,status_bin,0.02773458689601696,0.7277394180189223
desc_len,status_bin,-0.11020905509518102,0.16533625359906545
participants,status_bin,0.0335096085349787,0.6740022784979711
comments,status_bin,-0.06203124373401173,0.43583909633739926
changedFiles,reviews,-0.04432478496730103,0.5778371792365002
additions,reviews,-0.036420634235741815,0.6475069975277263
deletions,reviews,-0.09866270523494756,0.2145166852391891
tempo_analise_horas,reviews,0.04807414844202823,0.5460587359428055
desc_len,reviews,0.007354719718163148,0.9264577169546583
participants,reviews,-0.028782256298579466,0.7178824872562474
comments,reviews,0.04576119711938221,0.565561126740697
