Owner,Name,Stars,Url,CreatedAt,IdadeAnos
freeCodeCamp,freeCodeCamp,429269,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,10.75
codecrafters-io,build-your-own-x,423038,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,7.33
sindresorhus,awesome,403368,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,11.17
EbookFoundation,free-programming-books,370879,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,11.92
public-apis,public-apis,366769,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,9.50
kamranahmedse,developer-roadmap,338305,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,8.50
jwasham,coding-interview-university,330244,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,9.25
donnemartin,system-design-primer,321461,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,8.58
996icu,996.ICU,274434,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,6.50
vinta,awesome-python,261923,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,11.25
awesome-selfhosted,awesome-selfhosted,249514,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,10.25
practical-tutorials,project-based-learning,244933,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,8.42
facebook,react,239317,https://github.com/facebook/react,2013-05-24T16:15:54Z,12.33
vuejs,vue,209503,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,12.17
TheAlgorithms,Python,209494,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,9.17
torvalds,linux,203578,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,14.00
ossu,computer-science,194257,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,11.33
trekhleb,javascript-algorithms,193425,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,7.50
tensorflow,tensorflow,191858,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,9.83
trimstray,the-book-of-secret-knowledge,187935,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,7.25
getify,You-Dont-Know-JS,183396,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,11.83
CyC2018,CS-Notes,182375,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,7.58
ohmyzsh,ohmyzsh,181694,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,16.08
Significant-Gravitas,AutoGPT,178753,https://github.com/Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2.50
microsoft,vscode,177072,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,10.00
twbs,bootstrap,173485,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,14.17
flutter,flutter,173164,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,10.50
jackfrued,Python-100-Days,172801,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,7.50
github,gitignore,169697,https://github.com/github/gitignore,2010-11-08T20:17:14Z,14.83
jlevy,the-art-of-command-line,158322,https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,10.33
AUTOMATIC1111,stable-diffusion-webui,156958,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,3.08
avelino,awesome-go,153443,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,11.17
ollama,ollama,153252,https://github.com/ollama/ollama,2023-06-26T19:39:32Z,2.25
Snailclimb,JavaGuide,151950,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,7.33
huggingface,transformers,150409,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,6.92
massgravel,Microsoft-Activation-Scripts,150227,https://github.com/massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,5.67
airbnb,javascript,147464,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,12.83
n8n-io,n8n,141509,https://github.com/n8n-io/n8n,2019-06-22T09:24:21Z,6.25
ytdl-org,youtube-dl,138206,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,14.92
vercel,next.js,134753,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,8.92
f,awesome-chatgpt-prompts,134718,https://github.com/f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2.75
yangshun,tech-interview-handbook,130714,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,9.17
golang,go,130062,https://github.com/golang/go,2014-08-19T04:33:40Z,11.08
labuladong,fucking-algorithm,129430,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,5.58
521xueweihan,HelloGitHub,129399,https://github.com/521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,9.33
Genymobile,scrcpy,129101,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,7.83
yt-dlp,yt-dlp,128754,https://github.com/yt-dlp/yt-dlp,2020-10-26T04:22:55Z,4.92
Chalarangelo,30-seconds-of-code,125367,https://github.com/Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,7.83
langflow-ai,langflow,124748,https://github.com/langflow-ai/langflow,2023-02-08T22:28:03Z,2.58
facebook,react-native,123982,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,10.67
microsoft,PowerToys,123965,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,6.33
electron,electron,118483,https://github.com/electron/electron,2013-04-12T01:47:36Z,12.42
kubernetes,kubernetes,117744,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,11.25
krahets,hello-algo,117324,https://github.com/krahets/hello-algo,2022-11-04T11:08:34Z,2.83
langchain-ai,langchain,116396,https://github.com/langchain-ai/langchain,2022-10-17T02:58:36Z,2.92
justjavac,free-programming-books-zh_CN,115324,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,11.83
langgenius,dify,115260,https://github.com/langgenius/dify,2023-04-12T07:40:24Z,2.42
nodejs,node,113483,https://github.com/nodejs/node,2014-11-26T19:57:11Z,10.83
ripienaar,free-for-dev,112791,https://github.com/ripienaar/free-for-dev,2015-03-18T21:06:26Z,10.50
d3,d3,111560,https://github.com/d3/d3,2010-09-27T17:22:42Z,15.00
open-webui,open-webui,111186,https://github.com/open-webui/open-webui,2023-10-06T22:08:27Z,1.92
mrdoob,three.js,108761,https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,15.50
axios,axios,107759,https://github.com/axios/axios,2014-08-18T22:30:27Z,11.08
excalidraw,excalidraw,107669,https://github.com/excalidraw/excalidraw,2020-01-02T01:04:43Z,5.67
rust-lang,rust,106792,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,15.25
microsoft,TypeScript,106202,https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,11.25
denoland,deno,104497,https://github.com/denoland/deno,2018-05-15T01:34:26Z,7.33
