repo_id,language,stars,forks,open_issues,commits,contributors,size_kb,created_at,last_push
repo_1,Kotlin,44,13,10,297,39,37264,2023-09-10,2028-02-18
repo_2,JavaScript,38,11,2,304,17,42151,2024-08-08,2026-05-22
repo_3,Python,54,12,7,265,34,13418,2017-05-10,2019-03-12
repo_4,Java,62,8,4,307,41,17300,2018-07-18,2022-11-15
repo_5,Python,44,9,2,286,29,182,2018-02-04,2021-11-30
repo_6,Python,43,6,4,287,9,2020,2017-12-31,2019-05-09
repo_7,Python,53,7,5,312,13,40685,2023-06-20,2027-12-23
repo_8,Kotlin,53,11,8,332,6,11783,2019-06-27,2024-10-20
repo_9,Python,55,15,8,323,6,11436,2020-12-09,2023-11-12
repo_10,Java,51,13,7,307,20,15696,2016-04-11,2020-03-05
repo_11,Python,40,4,3,318,3,2193,2018-05-23,2021-11-13
repo_12,Kotlin,39,15,5,312,17,13005,2015-11-27,2020-05-23
repo_13,Python,42,7,4,272,49,24451,2019-01-22,2020-09-09
repo_14,JavaScript,56,7,6,258,12,31081,2020-11-05,2022-01-28
repo_15,Java,47,8,4,307,48,8467,2024-06-06,2025-10-03
repo_16,Python,53,7,6,318,47,5385,2023-09-07,2025-06-13
repo_17,Python,45,9,7,324,45,43764,2022-12-29,2024-09-08
repo_18,Python,63,7,3,274,1,37805,2015-05-11,2018-03-17
repo_19,JavaScript,51,11,3,312,17,16853,2019-08-13,2024-01-28
repo_20,Python,52,9,5,310,3,18585,2024-04-03,2026-01-24
repo_21,JavaScript,53,15,1,290,26,13077,2017-02-08,2019-03-07
repo_22,Python,54,11,6,307,15,19974,2021-07-19,2022-05-03
repo_23,Python,41,15,4,310,36,7774,2019-02-24,2023-01-31
repo_24,Python,57,11,3,274,32,29138,2024-07-17,2026-07-07
repo_25,Python,57,13,5,309,32,29415,2022-10-24,2024-07-22
repo_26,JavaScript,43,7,7,320,4,3776,2021-08-30,2022-04-21
repo_27,Python,43,10,7,299,18,2526,2018-04-30,2019-06-19
repo_28,Java,46,14,5,311,49,24573,2017-08-13,2020-03-07
repo_29,Python,48,7,9,284,19,3062,2021-05-13,2022-09-23
repo_30,Python,47,8,7,295,43,30043,2018-03-30,2020-11-27
repo_31,JavaScript,50,9,2,280,35,959,2016-04-04,2017-12-28
repo_32,JavaScript,47,8,10,320,40,44916,2024-04-08,2028-11-06
repo_33,Java,48,11,4,285,14,4238,2015-01-22,2017-11-06
repo_34,Ruby,52,14,7,284,33,35292,2021-04-19,2021-08-11
repo_35,Python,41,8,5,314,14,25740,2017-01-17,2019-08-06
repo_36,Ruby,52,10,7,311,34,10509,2022-12-14,2024-10-17
repo_37,Python,51,10,8,298,4,4117,2024-12-11,2029-09-12
repo_38,Java,54,13,5,303,24,10551,2016-04-19,2019-09-28
repo_39,Python,44,8,4,301,29,28427,2017-12-18,2022-03-30
repo_40,JavaScript,51,13,6,286,19,10378,2022-01-02,2024-11-01
repo_41,JavaScript,48,15,10,289,6,25044,2020-08-09,2021-03-02
repo_42,JavaScript,39,9,4,311,33,43864,2024-09-17,2029-05-16
repo_43,Python,47,7,4,280,49,1234,2022-07-10,2023-03-13
repo_44,JavaScript,54,10,3,318,40,30231,2017-09-02,2022-01-01
repo_45,JavaScript,50,8,5,288,19,37987,2019-12-12,2022-01-07
repo_46,Java,39,15,2,274,1,38562,2015-07-09,2018-09-01
repo_47,Python,51,17,8,315,5,22620,2023-03-25,2023-08-18
repo_48,Python,65,9,6,305,27,21969,2022-06-27,2022-10-22
repo_49,C++,51,5,6,304,16,37032,2023-03-25,2028-07-10
repo_50,Python,58,6,4,292,6,5139,2016-07-16,2020-05-21
repo_51,Ruby,44,11,6,271,40,21381,2020-03-14,2021-04-29
repo_52,Python,60,15,3,319,13,47499,2024-12-17,2029-07-31
repo_53,C++,50,8,4,303,48,10542,2018-06-21,2022-11-14
repo_54,C++,52,9,4,303,35,8352,2022-11-19,2023-11-16
repo_55,Python,60,14,5,336,19,27686,2019-03-09,2023-05-19
repo_56,JavaScript,61,13,2,294,12,17668,2023-10-08,2024-02-21
repo_57,JavaScript,47,14,3,309,16,20910,2024-09-26,2028-01-07
repo_58,Kotlin,50,5,7,332,43,1651,2016-10-08,2020-05-12
repo_59,Python,54,7,8,309,10,12725,2020-08-30,2023-04-14
repo_60,Python,46,10,5,287,25,34497,2022-11-28,2027-01-10
repo_61,JavaScript,45,12,1,282,20,26349,2021-01-23,2021-02-10
repo_62,C++,51,7,7,277,31,1461,2018-07-21,2019-01-31
repo_63,Python,56,9,7,336,4,26249,2021-09-01,2022-07-27
repo_64,Java,55,10,3,299,44,4470,2016-08-23,2022-01-03
repo_65,Kotlin,44,10,7,300,23,5383,2021-06-21,2021-12-12
repo_66,Python,49,9,2,322,2,7710,2020-08-23,2023-05-21
repo_67,JavaScript,51,12,4,275,22,43426,2015-08-30,2016-11-20
repo_68,C++,51,6,5,315,37,15024,2020-08-03,2025-12-03
repo_69,JavaScript,62,8,6,321,8,47707,2022-09-25,2025-04-27
repo_70,JavaScript,54,7,3,303,7,44817,2024-05-10,2028-02-16
repo_71,Python,42,10,8,311,14,10726,2022-02-25,2026-04-27
repo_72,JavaScript,54,14,4,322,3,34861,2023-01-24,2023-06-13
repo_73,JavaScript,68,13,7,307,16,969,2018-09-25,2020-10-21
repo_74,Python,48,7,2,313,19,31652,2020-11-09,2026-02-11
repo_75,Python,46,13,5,295,18,1114,2018-10-22,2021-05-08
repo_76,Ruby,53,14,7,277,16,10203,2023-03-23,2023-06-23
repo_77,JavaScript,44,15,5,360,8,17086,2019-01-18,2024-06-07
repo_78,Python,47,6,3,309,33,44881,2024-07-31,2025-03-26
repo_79,Ruby,49,8,7,304,49,30571,2021-12-31,2022-07-23
repo_80,Ruby,45,6,4,318,12,33558,2017-02-14,2018-08-27
repo_81,JavaScript,52,10,4,302,11,25169,2015-02-04,2019-01-30
repo_82,Kotlin,41,8,3,310,5,16973,2021-03-03,2021-11-02
repo_83,Python,64,12,8,328,27,23348,2023-08-19,2025-11-27
repo_84,Python,52,10,5,291,12,23724,2020-05-09,2024-01-09
repo_85,JavaScript,38,4,3,288,17,43616,2019-05-05,2021-11-14
repo_86,C++,51,19,5,323,6,29161,2024-06-21,2025-04-11
