language,task,threads,mean_time,speedup
Java,matrix_mul,1,75.04915553220935,1.0
Java,matrix_mul,2,59.48867801448121,1.261570403597476
Java,matrix_mul,4,49.15640025822119,1.526742298825222
Java,matrix_mul,8,40.61585605740235,1.8477797298213403
Java,matrix_mul,16,34.37951741784668,2.1829612853509905
Java,matrix_mul,32,27.657759503968055,2.7134936769351135
Java,io_bound,1,37.27369117626178,1.0
Java,io_bound,2,29.937418701871042,1.2450536082435266
Java,io_bound,4,23.25198286896603,1.603032798807462
Java,io_bound,8,19.718157120621534,1.8903232664314462
Java,io_bound,16,17.55774996852072,2.122919579279222
Java,io_bound,32,15.614406400345331,2.3871346896310723
Kotlin,matrix_mul,1,60.905935841678385,1.0
Kotlin,matrix_mul,2,50.66663375236767,1.2020916198884484
Kotlin,matrix_mul,4,40.48095925183166,1.5045576233207107
Kotlin,matrix_mul,8,32.609864165049586,1.8677151040376243
Kotlin,matrix_mul,16,28.714508037850987,2.1210858204985854
Kotlin,matrix_mul,32,23.802692554048825,2.558783452896312
Kotlin,io_bound,1,33.56257827920486,1.0
Kotlin,io_bound,2,26.861871175751695,1.2494504965648825
Kotlin,io_bound,4,22.78031263386796,1.4733150865237328
Kotlin,io_bound,8,17.78546460925218,1.8870790848918988
Kotlin,io_bound,16,14.554275912012011,2.306028721875804
Kotlin,io_bound,32,11.83936409718137,2.834829472572365
