treatment,iteration,time_ms,response_size
REST,1,0.002651,158
REST,2,0.002578,158
REST,3,0.00272,158
REST,4,0.002485,158
REST,5,0.002845,158
REST,6,0.002612,158
REST,7,0.002549,158
REST,8,0.002695,158
REST,9,0.002761,158
REST,10,0.00242,158
REST,11,0.002782,158
REST,12,0.002631,158
REST,13,0.002588,158
REST,14,0.002701,158
REST,15,0.002823,158
REST,16,0.002415,158
REST,17,0.002658,158
REST,18,0.002729,158
REST,19,0.002465,158
REST,20,0.002892,158
REST,21,0.002502,158
REST,22,0.002745,158
REST,23,0.002614,158
REST,24,0.002685,158
REST,25,0.002285,158
REST,26,0.00289,158
REST,27,0.002551,158
REST,28,0.002763,158
REST,29,0.003702,158
REST,30,0.002542,158
GraphQL,1,0.003117,167
GraphQL,2,0.003042,167
GraphQL,3,0.003211,167
GraphQL,4,0.002985,167
GraphQL,5,0.003156,167
GraphQL,6,0.003089,167
GraphQL,7,0.003033,167
GraphQL,8,0.003168,167
GraphQL,9,0.003198,167
GraphQL,10,0.002895,167
GraphQL,11,0.003245,167
GraphQL,12,0.003112,167
GraphQL,13,0.003064,167
GraphQL,14,0.003179,167
GraphQL,15,0.003224,167
GraphQL,16,0.00292,167
GraphQL,17,0.003141,167
GraphQL,18,0.003201,167
GraphQL,19,0.002945,167
GraphQL,20,0.003289,167
GraphQL,21,0.002995,167
GraphQL,22,0.003221,167
GraphQL,23,0.003078,167
GraphQL,24,0.003162,167
GraphQL,25,0.002704,167
GraphQL,26,0.003301,167
GraphQL,27,0.003029,167
GraphQL,28,0.003235,167
GraphQL,29,0.003754,167
GraphQL,30,0.003018,167
